==11337== NVPROF is profiling process 11337, command: ./cc32 ../../data/coAuthorsCiteseer.mtx 2
==11337== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==11337== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==11337== Profiling application: ./cc32 ../../data/coAuthorsCiteseer.mtx 2
==11337== Profiling result:
==11337== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"ldst_issued","Issued Load/Store Instructions",3677604,3677604,3677604
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"ldst_executed","Executed Load/Store Instructions",25472382,25472382,25472382
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"atomic_transactions","Atomic Transactions",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"atomic_transactions_per_request","Atomic Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"l2_atomic_throughput","L2 Throughput (Atomic requests)",0.000000B/s,0.000000B/s,0.000000B/s
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"l2_atomic_transactions","L2 Transactions (Atomic requests)",0,0,0
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"l2_tex_read_transactions","L2 Transactions (Texture Reads)",2122912,2124143,2123393
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"stall_memory_throttle","Issue Stall Reasons (Memory Throttle)",0.007979%,0.008295%,0.008108%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"stall_not_selected","Issue Stall Reasons (Not Selected)",4.122368%,4.170440%,4.142062%
"GeForce GTX 1080 (0)","void bmv32_sparse_full_cc<int, int>(unsigned int const *, int const *, int*, int const *, int const *, int)",9,"l2_tex_write_transactions","L2 Transactions (Texture Writes)",28416,28416,28416
